#Data    ; Gap       ; Datasieving ; Buffer ; Performance
#Byte    ; Byte      ; on/off      ; MByte  ; MByte/s
20480    ; 102400    ; 1           ; 1      ; 11          
20480    ; 102400    ; 1           ; 1      ; 11          
20480    ; 102400    ; 1           ; 1      ; 12          
20480    ; 122880    ; 1           ; 1      ; 10          
20480    ; 122880    ; 1           ; 1      ; 10          
20480    ; 122880    ; 1           ; 1      ; 10          
20480    ; 122880    ; 1           ; 1      ; 10          
20480    ; 122880    ; 1           ; 1      ; 10          
20480    ; 143360    ; 1           ; 1      ; 10          
20480    ; 143360    ; 1           ; 1      ; 10          
20480    ; 143360    ; 1           ; 1      ; 10          
20480    ; 143360    ; 1           ; 1      ; 10          
20480    ; 143360    ; 1           ; 1      ; 10          
20480    ; 163840    ; 1           ; 1      ; 5           
20480    ; 163840    ; 1           ; 1      ; 6           
20480    ; 163840    ; 1           ; 1      ; 7           
20480    ; 163840    ; 1           ; 1      ; 6           
20480    ; 163840    ; 1           ; 1      ; 7           
20480    ; 184320    ; 1           ; 1      ; 6           
20480    ; 184320    ; 1           ; 1      ; 7           
20480    ; 184320    ; 1           ; 1      ; 7           
20480    ; 184320    ; 1           ; 1      ; 7           
20480    ; 184320    ; 1           ; 1      ; 7           
20480    ; 204800    ; 1           ; 1      ; 8           
20480    ; 204800    ; 1           ; 1      ; 8           
20480    ; 204800    ; 1           ; 1      ; 8           
20480    ; 204800    ; 1           ; 1      ; 8           
20480    ; 204800    ; 1           ; 1      ; 9           
20480    ; 225280    ; 1           ; 1      ; 8           
20480    ; 225280    ; 1           ; 1      ; 8           
20480    ; 225280    ; 1           ; 1      ; 7           
20480    ; 225280    ; 1           ; 1      ; 7           
20480    ; 225280    ; 1           ; 1      ; 8           
20480    ; 0         ; 0           ; 1      ; 97          
20480    ; 0         ; 0           ; 1      ; 99          
20480    ; 0         ; 0           ; 1      ; 99          
20480    ; 0         ; 0           ; 1      ; 96          
20480    ; 0         ; 0           ; 1      ; 97          
20480    ; 320       ; 0           ; 1      ; 19          
20480    ; 320       ; 0           ; 1      ; 19          
20480    ; 320       ; 0           ; 1      ; 19          
20480    ; 320       ; 0           ; 1      ; 18          
20480    ; 320       ; 0           ; 1      ; 19          
20480    ; 640       ; 0           ; 1      ; 19          
20480    ; 640       ; 0           ; 1      ; 19          
20480    ; 640       ; 0           ; 1      ; 19          
20480    ; 640       ; 0           ; 1      ; 19          
20480    ; 640       ; 0           ; 1      ; 19          
20480    ; 1280      ; 0           ; 1      ; 19          
20480    ; 1280      ; 0           ; 1      ; 19          
20480    ; 1280      ; 0           ; 1      ; 19          
20480    ; 1280      ; 0           ; 1      ; 19          
20480    ; 1280      ; 0           ; 1      ; 19          
20480    ; 2560      ; 0           ; 1      ; 20          
20480    ; 2560      ; 0           ; 1      ; 20          
20480    ; 2560      ; 0           ; 1      ; 20          
20480    ; 2560      ; 0           ; 1      ; 20          
20480    ; 2560      ; 0           ; 1      ; 20          
20480    ; 5120      ; 0           ; 1      ; 22          
20480    ; 5120      ; 0           ; 1      ; 22          
20480    ; 5120      ; 0           ; 1      ; 22          
20480    ; 5120      ; 0           ; 1      ; 22          
20480    ; 5120      ; 0           ; 1      ; 22          
20480    ; 10240     ; 0           ; 1      ; 26          
20480    ; 10240     ; 0           ; 1      ; 26          
20480    ; 10240     ; 0           ; 1      ; 26          
20480    ; 10240     ; 0           ; 1      ; 26          
20480    ; 10240     ; 0           ; 1      ; 26          
20480    ; 20480     ; 0           ; 1      ; 31          
20480    ; 20480     ; 0           ; 1      ; 31          
20480    ; 20480     ; 0           ; 1      ; 32          
20480    ; 20480     ; 0           ; 1      ; 31          
20480    ; 20480     ; 0           ; 1      ; 31          
20480    ; 40960     ; 0           ; 1      ; 31          
20480    ; 40960     ; 0           ; 1      ; 32          
20480    ; 40960     ; 0           ; 1      ; 32          
20480    ; 40960     ; 0           ; 1      ; 32          
20480    ; 40960     ; 0           ; 1      ; 32          
20480    ; 61440     ; 0           ; 1      ; 24          
20480    ; 61440     ; 0           ; 1      ; 24          
20480    ; 61440     ; 0           ; 1      ; 24          
20480    ; 61440     ; 0           ; 1      ; 23          
20480    ; 61440     ; 0           ; 1      ; 24          
20480    ; 81920     ; 0           ; 1      ; 6           
20480    ; 81920     ; 0           ; 1      ; 6           
20480    ; 81920     ; 0           ; 1      ; 6           
20480    ; 81920     ; 0           ; 1      ; 6           
20480    ; 81920     ; 0           ; 1      ; 6           
20480    ; 102400    ; 0           ; 1      ; 7           
20480    ; 102400    ; 0           ; 1      ; 7           
20480    ; 102400    ; 0           ; 1      ; 7           
20480    ; 102400    ; 0           ; 1      ; 7           
20480    ; 102400    ; 0           ; 1      ; 7           
20480    ; 122880    ; 0           ; 1      ; 6           
20480    ; 122880    ; 0           ; 1      ; 6           
